word,level,group
aardwolf,frequent,CWL
abacus,frequent,CWL
abalienation,frequent,CWL
abalone,frequent,CWL
abandonment,frequent,CWL
abattoir,frequent,CWL
abbot,frequent,CWL
abbreviate,frequent,CWL
abbreviation,frequent,CWL
abdicate,frequent,CWL
abdomen,frequent,CWL
abdominal,frequent,CWL
abecedarium,frequent,CWL
abecedarius,frequent,CWL
aberrant,frequent,CWL
aberration,frequent,CWL
abeyance,frequent,CWL
abhor,frequent,CWL
abhorrence,frequent,CWL
abidance,frequent,CWL
ability,frequent,CWL
abiogenist,frequent,CWL
abjuration,frequent,CWL
ablution,frequent,CWL
abolition,frequent,CWL
abominable,frequent,CWL
aborigine,frequent,CWL
abracadabra,frequent,CWL
abrasion,frequent,CWL
abrasive,frequent,CWL
abrogated,frequent,CWL
abruptly,frequent,CWL
abscess,frequent,CWL
abscissa,frequent,CWL
abscond,frequent,CWL
abscondence,frequent,CWL
abseil,frequent,CWL
absence,frequent,CWL
abstemious,frequent,CWL
abstention,frequent,CWL
abstinence,frequent,CWL
abstractive,frequent,CWL
abstruse,frequent,CWL
absurdity,frequent,CWL
abundance,frequent,CWL
abysmal,frequent,CWL
abysmally,frequent,CWL
acacia,frequent,CWL
academia,frequent,CWL
academic,frequent,CWL
acarology,frequent,CWL
accede,frequent,CWL
accelerate,frequent,CWL
accelerator,frequent,CWL
accentuator,frequent,CWL
acceptance,frequent,CWL
accessible,frequent,CWL
accession,frequent,CWL
accessorial,frequent,CWL
accidental,frequent,CWL
accipiter,frequent,CWL
acclimatization,frequent,CWL
acclivity,frequent,CWL
accolade,frequent,CWL
accommodable,frequent,CWL
accommodate,frequent,CWL
accomplice,frequent,CWL
accordionist,frequent,CWL
accreditation,frequent,CWL
accrescent,frequent,CWL
accrual,frequent,CWL
accrue,frequent,CWL
accrued,frequent,CWL
accumulate,frequent,CWL
accurate,frequent,CWL
accusatory,frequent,CWL
acerbity,frequent,CWL
acescent,frequent,CWL
acetate,frequent,CWL
acetylene,frequent,CWL
achondrite,frequent,CWL
achromatism,frequent,CWL
acicular,frequent,CWL
acknowledge,frequent,CWL
acknowledging,frequent,CWL
acme,frequent,CWL
acolyte,frequent,CWL
acorn,frequent,CWL
acoustician,frequent,CWL
acoustics,frequent,CWL
acquaintance,frequent,CWL
acquiesce,frequent,CWL
acquiescence,frequent,CWL
acquittal,frequent,CWL
acre,frequent,CWL
acrid,frequent,CWL
acrimonious,frequent,CWL
acrobat,frequent,CWL
acronym,frequent,CWL
acropolis,frequent,CWL
acrostic,frequent,CWL
acrylic,frequent,CWL
actinic,frequent,CWL
actuary,frequent,CWL
acuate,frequent,CWL
aculeate,frequent,CWL
acumen,frequent,CWL
acuminate,frequent,CWL
acupuncture,frequent,CWL
adactylous,frequent,CWL
adage,frequent,CWL
adagio,frequent,CWL
adamantine,frequent,CWL
addlepated,frequent,CWL
adenoidal,frequent,CWL
adequate,frequent,CWL
adequation,frequent,CWL
adhere,frequent,CWL
adherence,frequent,CWL
adherent,frequent,CWL
adhesional,frequent,CWL
adiaphorism,frequent,CWL
adipose,frequent,CWL
adjacency,frequent,CWL
adjacent,frequent,CWL
adjourn,frequent,CWL
adjudicate,frequent,CWL
adjunct,frequent,CWL
adjuvant,frequent,CWL
admeasure,frequent,CWL
adminicle,frequent,CWL
admiral,frequent,CWL
admire,frequent,CWL
admonitory,frequent,CWL
adolescence,frequent,CWL
Adonis,frequent,CWL
adsmith,frequent,CWL
adumbrate,frequent,CWL
advantageous,frequent,CWL
adverb,frequent,CWL
adversary,frequent,CWL
adverse,frequent,CWL
advisory,frequent,CWL
advocaat,frequent,CWL
advocate,frequent,CWL
aerial,frequent,CWL
aerodynamic,frequent,CWL
aeronautics,frequent,CWL
aerosol,frequent,CWL
Aeschylean,frequent,CWL
affability,frequent,CWL
affable,frequent,CWL
affectionate,frequent,CWL
affianced,frequent,CWL
affidavit,frequent,CWL
affiliate,frequent,CWL
affiliation,frequent,CWL
affinity,frequent,CWL
affirmative,frequent,CWL
afflatus,frequent,CWL
affluence,frequent,CWL
aforementioned,frequent,CWL
Afrikaans,frequent,CWL
afterwale,frequent,CWL
agape,frequent,CWL
agate,frequent,CWL
agelicism,frequent,CWL
agenda,frequent,CWL
agglomerate,frequent,CWL
agglomeration,frequent,CWL
agglutinate,frequent,CWL
aggrandizement,frequent,CWL
aggravate,frequent,CWL
aggregate,frequent,CWL
aghast,frequent,CWL
agiotage,frequent,CWL
agitated,frequent,CWL
agnostic,frequent,CWL
agoraphobia,frequent,CWL
agrarian,frequent,CWL
agreeable,frequent,CWL
agriology,frequent,CWL
agronomy,frequent,CWL
aikido,frequent,CWL
ailanthus,frequent,CWL
aileron,frequent,CWL
airborne,frequent,CWL
airedale,frequent,CWL
akimbo,frequent,CWL
akropodion,frequent,CWL
aktograph,frequent,CWL
alabaster,frequent,CWL
alacrity,frequent,CWL
alar,frequent,CWL
alary,frequent,CWL
albatross,frequent,CWL
albedo,frequent,CWL
albedometer,frequent,CWL
albeit,frequent,CWL
albino,frequent,CWL
alchemy,frequent,CWL
alcohol,frequent,CWL
alcoholature,frequent,CWL
alcoholism,frequent,CWL
alcove,frequent,CWL
aleatoric,frequent,CWL
aleatory,frequent,CWL
alegar,frequent,CWL
alfalfa,frequent,CWL
alfresco,frequent,CWL
Algonquian,frequent,CWL
algorithm,frequent,CWL
alibi,frequent,CWL
alien,frequent,CWL
alienation,frequent,CWL
aliferous,frequent,CWL
alimentary,frequent,CWL
aliquot,frequent,CWL
alkali,frequent,CWL
allargando,frequent,CWL
allayment,frequent,CWL
allege,frequent,CWL
allegiance,frequent,CWL
allegory,frequent,CWL
allegro,frequent,CWL
allemande,frequent,CWL
allergy,frequent,CWL
alliance,frequent,CWL
alligator,frequent,CWL
allision,frequent,CWL
alliteration,frequent,CWL
allocate,frequent,CWL
allocation,frequent,CWL
alluded,frequent,CWL
alluviation,frequent,CWL
almond,frequent,CWL
almoner,frequent,CWL
alnico,frequent,CWL
aloof,frequent,CWL
alopecia,frequent,CWL
alpaca,frequent,CWL
alpenglow,frequent,CWL
alphabet,frequent,CWL
altazimuth,frequent,CWL
altercation,frequent,CWL
altiplano,frequent,CWL
altitude,frequent,CWL
altogether,frequent,CWL
altruism,frequent,CWL
altruistically,frequent,CWL
alveolate,frequent,CWL
amadelphous,frequent,CWL
amalgam,frequent,CWL
amanuensis,frequent,CWL
amaryllis,frequent,CWL
amateur,frequent,CWL
amber,frequent,CWL
ambidextrous,frequent,CWL
ambiguity,frequent,CWL
ambivalent,frequent,CWL
amblyopia,frequent,CWL
Amboinese,frequent,CWL
ambrosia,frequent,CWL
ambulation,frequent,CWL
ambuscade,frequent,CWL
ambush,frequent,CWL
ameliorate,frequent,CWL
amelioration,frequent,CWL
amenable,frequent,CWL
amendment,frequent,CWL
Amer,frequent,CWL
American,frequent,CWL
amertoy,frequent,CWL
amethyst,frequent,CWL
amiable,frequent,CWL
amicable,frequent,CWL
amice,frequent,CWL
amiss,frequent,CWL
amity,frequent,CWL
ammeter,frequent,CWL
ammonia,frequent,CWL
amnesia,frequent,CWL
amole,frequent,CWL
amortization,frequent,CWL
amphibian,frequent,CWL
amphibious,frequent,CWL
amphora,frequent,CWL
ampicillin,frequent,CWL
amulet,frequent,CWL
amuse,frequent,CWL
amygdaline,frequent,CWL
an,frequent,CWL
anabasis,frequent,CWL
anabibazon,frequent,CWL
anabolic,frequent,CWL
anachronism,frequent,CWL
anachronous,frequent,CWL
anaconda,frequent,CWL
anaglyph,frequent,CWL
anagnorisis,frequent,CWL
anagogic,frequent,CWL
analects,frequent,CWL
analemma,frequent,CWL
analgesic,frequent,CWL
analogy,frequent,CWL
analysand,frequent,CWL
ananym,frequent,CWL
anaphora,frequent,CWL
anarchy,frequent,CWL
anastomosis,frequent,CWL
anastrophe,frequent,CWL
anathema,frequent,CWL
anaudia,frequent,CWL
anautogenous,frequent,CWL
ancestor,frequent,CWL
anchovy,frequent,CWL
ancillary,frequent,CWL
and,frequent,CWL
anecdote,frequent,CWL
anemochore,frequent,CWL
anemometer,frequent,CWL
anemone,frequent,CWL
aneroid,frequent,CWL
anglaise,frequent,CWL
anguish,frequent,CWL
anhydride,frequent,CWL
anise,frequent,CWL
anisette,frequent,CWL
ankh,frequent,CWL
anklet,frequent,CWL
anneal,frequent,CWL
annihilate,frequent,CWL
anniversary,frequent,CWL
annotation,frequent,CWL
annoyance,frequent,CWL
annual,frequent,CWL
annuity,frequent,CWL
annul,frequent,CWL
anodyne,frequent,CWL
anomalous,frequent,CWL
anomaly,frequent,CWL
anon,frequent,CWL
anonymous,frequent,CWL
anorthopia,frequent,CWL
anosmic,frequent,CWL
anschluss,frequent,CWL
anserous,frequent,CWL
Antarctic,frequent,CWL
antecedent,frequent,CWL
antecessor,frequent,CWL
antediluvian,frequent,CWL
antelope,frequent,CWL
antenna,frequent,CWL
anterior,frequent,CWL
anteroom,frequent,CWL
anthography,frequent,CWL
anthology,frequent,CWL
anthroponymy,frequent,CWL
anticyclone,frequent,CWL
antifoulant,frequent,CWL
antilogy,frequent,CWL
antimacassar,frequent,CWL
antimony,frequent,CWL
antipasto,frequent,CWL
antipodal,frequent,CWL
antiquarian,frequent,CWL
antique,frequent,CWL
antiquity,frequent,CWL
antiseptic,frequent,CWL
antithesis,frequent,CWL
antonym,frequent,CWL
anxiety,frequent,CWL
apartheid,frequent,CWL
apastron,frequent,CWL
apathetic,frequent,CWL
apathy,frequent,CWL
aperitif,frequent,CWL
aperture,frequent,CWL
apex,frequent,CWL
aphasia,frequent,CWL
aphelion,frequent,CWL
aphid,frequent,CWL
aphorism,frequent,CWL
apiary,frequent,CWL
apiculus,frequent,CWL
aplomb,frequent,CWL
apocalypse,frequent,CWL
apocope,frequent,CWL
apocryphal,frequent,CWL
apogee,frequent,CWL
apolaustic,frequent,CWL
apologue,frequent,CWL
apology,frequent,CWL
apoplexy,frequent,CWL
aporia,frequent,CWL
aposiopesis,frequent,CWL
apostle,frequent,CWL
apostrophe,frequent,CWL
apothecary,frequent,CWL
appalling,frequent,CWL
Appaloosa,frequent,CWL
apparatchik,frequent,CWL
apparatus,frequent,CWL
apparel,frequent,CWL
apparition,frequent,CWL
appealed,frequent,CWL
appease,frequent,CWL
appellation,frequent,CWL
appellative,frequent,CWL
appendages,frequent,CWL
appendant,frequent,CWL
appendicitis,frequent,CWL
appetite,frequent,CWL
apprentice,frequent,CWL
approbation,frequent,CWL
appropriate,frequent,CWL
appurtenance,frequent,CWL
appurtenant,frequent,CWL
apricot,frequent,CWL
apropos,frequent,CWL
apsidal,frequent,CWL
aquatic,frequent,CWL
aqueduct,frequent,CWL
aquiline,frequent,CWL
arabesque,frequent,CWL
arability,frequent,CWL
arachnid,frequent,CWL
arbiter,frequent,CWL
arboreal,frequent,CWL
arboret,frequent,CWL
arbuscle,frequent,CWL
arcanum,frequent,CWL
archaic,frequent,CWL
archangel,frequent,CWL
archelogy,frequent,CWL
archery,frequent,CWL
archipelago,frequent,CWL
architecture,frequent,CWL
archivalia,frequent,CWL
arcing,frequent,CWL
arctic,frequent,CWL
ardency,frequent,CWL
ardent,frequent,CWL
arduous,frequent,CWL
arenaceous,frequent,CWL
arenicolous,frequent,CWL
areology,frequent,CWL
aretalogy,frequent,CWL
argillaceous,frequent,CWL
argosy,frequent,CWL
argot,frequent,CWL
argumentative,frequent,CWL
aristoi,frequent,CWL
arithmocracy,frequent,CWL
armadillo,frequent,CWL
Armageddon,frequent,CWL
armaments,frequent,CWL
armature,frequent,CWL
armistice,frequent,CWL
arpeggio,frequent,CWL
arraignment,frequent,CWL
arrasene,frequent,CWL
arrive,frequent,CWL
arrogance,frequent,CWL
arrogant,frequent,CWL
arsenal,frequent,CWL
arsenic,frequent,CWL
artesian,frequent,CWL
arthritis,frequent,CWL
arthroscopy,frequent,CWL
artichoke,frequent,CWL
article,frequent,CWL
articulacy,frequent,CWL
artifice,frequent,CWL
artificial,frequent,CWL
artillerist,frequent,CWL
artillery,frequent,CWL
arviculture,frequent,CWL
ascend,frequent,CWL
ascension,frequent,CWL
ascertained,frequent,CWL
asceticism,frequent,CWL
ascribable,frequent,CWL
asinine,frequent,CWL
askew,frequent,CWL
asparagus,frequent,CWL
aspartame,frequent,CWL
aspersion,frequent,CWL
asphalt,frequent,CWL
asphodel,frequent,CWL
asphyxiant,frequent,CWL
asphyxiate,frequent,CWL
asphyxiated,frequent,CWL
aspirin,frequent,CWL
assailant,frequent,CWL
assassin,frequent,CWL
assassinate,frequent,CWL
assemblage,frequent,CWL
assess,frequent,CWL
asseveration,frequent,CWL
assiduously,frequent,CWL
assimilate,frequent,CWL
assimilation,frequent,CWL
assonance,frequent,CWL
assuage,frequent,CWL
assuagement,frequent,CWL
Assyrian,frequent,CWL
asthmatic,frequent,CWL
astigmatism,frequent,CWL
astringe,frequent,CWL
astrogator,frequent,CWL
astronomy,frequent,CWL
astuteness,frequent,CWL
asylum,frequent,CWL
asymmetry,frequent,CWL
atelier,frequent,CWL
athletic,frequent,CWL
atmosphere,frequent,CWL
atmospheric,frequent,CWL
atomic,frequent,CWL
atrabilious,frequent,CWL
atrichia,frequent,CWL
atrium,frequent,CWL
atrocious,frequent,CWL
atrophy,frequent,CWL
attenuate,frequent,CWL
attitude,frequent,CWL
attitudinal,frequent,CWL
attrition,frequent,CWL
aubade,frequent,CWL
