id,word,alt,type,bee,group,origin,nTried,nMistakes,weight
1,stencil,,,one,champions,,1,0,1
2,tirade,,,one,champions,,1,0,1
3,flame,,,one,study,,1,1,1
4,beam,,,one,study,,1,0,1
5,ladle,,,one,champions,,1,0,1
6,twitchy,,,one,champions,,1,0,1
7,infant,,,one,champions,,1,0,1
8,leniency,,,one,champions,,1,0,1
9,porridge,,,one,champions,,1,0,1
10,seldom,,,one,champions,,1,0,1
11,boorish,,,one,champions,,1,1,1
12,trumpet,,,one,champions,,1,0,1
13,valiant,,,one,champions,,1,0,1
14,bother,,,one,champions,,1,0,1
15,harmonious,,,one,champions,,1,0,1
16,chia,,,one,champions,,1,0,1
17,twisty,,,one,study,,1,0,1
18,forensics,,,one,champions,,1,0,1
19,marvelous,marvellous,No preference,one,champions,,1,0,1
20,pristine,,,one,champions,,1,0,1
21,cloudy,,,one,champions,,1,0,1
22,blooper,,,one,champions,,1,0,1
23,cabbage,,,one,champions,,1,0,1
24,hooves,,,one,champions,,1,0,1
25,giant,,,one,study,,1,0,1
26,candles,,,one,study,,1,0,1
27,sundae,,,one,champions,,1,0,1
28,joyful,,,one,champions,,1,0,1
29,extinct,,,one,champions,,1,0,1
30,faucet,,,one,champions,,1,0,1
31,misinterpret,,,one,champions,,1,0,1
32,eternity,,,one,champions,,1,0,1
33,furious,,,one,champions,,1,0,1
34,feats,,,one,study,,1,0,1
35,workhorse,,,one,study,,1,0,1
36,cowlick,,,one,champions,,1,0,1
37,towel,,,one,champions,,1,0,1
38,campus,,,one,champions,,1,0,1
39,reply,,,one,study,,1,0,1
40,inside,,,one,study,,1,0,1
41,eyelet,,,one,champions,,1,1,1
42,peerless,,,one,champions,,1,0,1
43,mutter,,,one,champions,,1,0,1
44,town,,,one,study,,1,0,1
45,dillydally,,,one,champions,,1,0,1
46,levity,,,one,champions,,1,1,1
47,trendy,,,one,champions,,1,0,1
48,ginger,,,one,champions,,1,0,1
49,ash,,,one,study,,1,0,1
50,wasp,,,one,champions,,1,0,1
51,complaint,,,one,champions,,1,0,1
52,whiff,,,one,champions,,1,0,1
53,manifesto,,,one,champions,,1,0,1
54,magnate,,,one,champions,,1,0,1
55,furnace,,,one,champions,,1,0,1
56,forfend,forefend,No preference,one,champions,,1,1,1
57,cajole,,,one,champions,,1,0,1
58,sword,,,one,champions,,1,0,1
59,garlic,,,one,champions,,1,0,1
60,argue,,,one,study,,1,0,1
61,imagery,,,one,champions,,1,0,1
62,trait,,,one,champions,,1,0,1
63,sedentary,,,one,champions,,1,0,1
64,tulip,,,one,champions,,1,0,1
65,omission,,,one,champions,,1,1,1
66,third,,,one,champions,,1,0,1
67,sirloin,,,one,champions,,1,0,1
68,heartthrob,,,one,champions,,1,1,1
69,inched,,,one,champions,,1,0,1
70,vacuum,,,one,champions,,1,0,1
71,shortfall,,,one,champions,,1,0,1
