id,word,alt,bee,group,nTried,nMistakes,weight
1,gel,,one,study,0,0,1
2,day,,one,study,0,0,1
3,train,,one,study,0,0,1
4,upset,,one,study,0,0,1
5,sport,,one,study,0,0,1
6,father,,one,study,0,0,1
7,rich,,one,study,0,0,1
8,jam,,one,study,0,0,1
9,eel,,one,study,0,0,1
10,mugs,,one,study,0,0,1
11,fans,,one,study,0,0,1
12,fair,,one,study,0,0,1
13,dome,,one,study,0,0,1
14,dinner,,one,study,0,0,1
15,tall,,one,study,0,0,1
16,rats,,one,study,0,0,1
17,better,,one,study,0,0,1
18,fed,,one,study,0,0,1
19,hit,,one,study,0,0,1
20,sir,,one,study,0,0,1
21,peanut,,one,study,0,0,1
22,boom,,one,study,0,0,1
23,cake,,one,study,0,0,1
24,wave,,one,study,0,0,1
25,bite,,one,study,0,0,1
26,trunk,,one,study,0,0,1
27,noon,,one,study,0,0,1
28,sleepy,,one,study,0,0,1
29,gummy,,one,study,0,0,1
30,full,,one,study,0,0,1
31,sting,,one,study,0,0,1
32,huge,,one,study,0,0,1
33,ray,,one,study,0,0,1
34,born,,one,study,0,0,1
35,dusk,,one,study,0,0,1
36,jumping,,one,study,0,0,1
37,mops,,one,study,0,0,1
38,damp,,one,study,0,0,1
39,thanks,,one,study,0,0,1
40,from,,one,study,0,0,1
41,dash,,one,study,0,0,1
42,hunch,,one,study,0,0,1
43,skin,,one,study,0,0,1
44,each,,one,study,0,0,1
45,star,,one,study,0,0,1
46,shade,,one,study,0,0,1
47,began,,one,study,0,0,1
48,ribs,,one,study,0,0,1
49,grew,,one,study,0,0,1
50,forever,,one,study,0,0,1
51,fine,,one,study,0,0,1
52,freeze,,one,study,0,0,1
53,scorch,,one,study,0,0,1
54,motor,,one,study,0,0,1
55,talking,,one,study,0,0,1
56,money,,one,study,0,0,1
57,couch,,one,study,0,0,1
58,nibble,,one,study,0,0,1
59,strands,,one,study,0,0,1
60,chapter,,one,study,0,0,1
61,chess,,one,study,0,0,1
62,slimy,,one,study,0,0,1
63,squeak,,one,study,0,0,1
64,friend,,one,study,0,0,1
65,laptop,,one,study,0,0,1
66,movie,,one,study,0,0,1
67,known,,one,study,0,0,1
68,suffer,,one,study,0,0,1
69,double,,one,study,0,0,1
70,watch,,one,study,0,0,1
71,ahoy,,one,study,0,0,1
72,dream,,one,study,0,0,1
73,whine,,one,study,0,0,1
74,beans,,one,study,0,0,1
75,child,,one,study,0,0,1
76,space,,one,study,0,0,1
77,princess,,one,study,0,0,1
78,piper,,one,study,0,0,1
79,hear,,one,study,0,0,1
80,sprint,,one,study,0,0,1
81,awe,,one,study,0,0,1
82,afar,,one,study,0,0,1
83,bowl,,one,study,0,0,1
84,sweat,,one,study,0,0,1
85,cost,,one,study,0,0,1
86,sleek,,one,study,0,0,1
87,bottle,,one,study,0,0,1
88,smart,,one,study,0,0,1
89,stared,,one,study,0,0,1
90,plopped,,one,study,0,0,1
91,darted,,one,study,0,0,1
92,angry,,one,study,0,0,1
93,sidekick,,one,study,0,0,1
